Stock A,Stock B,Best Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98
NRIC,NTC,11.0,-2.224610877976418,1.4321796849852688,0.12551736137887293,0.05,11646.275454141523,2.5967718085031684,3.3608177912015633,0.003968845481049682,7,0.8571428571428571,15.497625698324043,46.23458333333334,17.899999999999977,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10034.12413590234,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10024.090011766437,10026.3503457887,10016.32399544291,10016.32399544291,10016.32399544291,10016.32399544291,10016.32399544291,10016.32399544291,10016.32399544291,10016.32399544291,10128.729409169546,10118.600679760377,10118.600679760377,10118.600679760377,10118.600679760377,10118.600679760377,10118.600679760377,10118.600679760377,10118.600679760377,10118.600679760377,10567.34724211674,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,10556.779894874624,11156.860383408772,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11145.703523025362,11644.269870860202,11609.665228231348,11598.055563003116,11598.055563003116,11598.055563003116,11598.055563003116,11598.055563003116,11657.933387529054,11646.275454141523,11646.275454141523,11646.275454141523,11646.275454141523
NRIC,DHPL,6.0,-2.1393309542205827,1.169049815002308,0.4303502297349878,0.05,12011.963367685457,2.3262162318754758,1.005864041031297,0.01861054730021162,5,1.0,inf,17.945,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10374.615384615385,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10866.906446538462,11062.614306229765,11051.551691923536,11051.551691923536,11051.551691923536,11051.551691923536,11051.551691923536,11051.551691923536,11051.551691923536,11148.320156738186,11137.171836581447,11137.171836581447,11137.171836581447,11137.171836581447,11137.171836581447,11137.171836581447,11137.171836581447,11137.171836581447,10951.795612756066,10940.843817143308,10940.843817143308,10940.843817143308,10940.843817143308,10940.843817143308,10940.843817143308,10940.843817143308,12023.987355040497,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457,12011.963367685457
NTC,SHIVM,9.0,-1.0056794386963919,1.7793235123700402,-0.3143787925542342,0.05,11464.031124959049,3.238881471816483,1.2176705724067596,0.010673931769230895,11,0.6363636363636364,2.313840579710144,34.2117857142857,25.875,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10126.138613861383,10241.890640360736,10231.648749720374,10231.648749720374,10231.648749720374,10308.44205995977,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10298.13361789981,10422.734722877158,10440.217222163219,10429.777004941057,10429.777004941057,10429.777004941057,10429.777004941057,10429.777004941057,10469.611213502098,10459.141602288595,10459.141602288595,10459.141602288595,10459.141602288595,10474.192562155304,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10463.718369593149,10581.14454240747,10570.563397865062,10570.563397865062,10570.563397865062,10570.563397865062,10570.563397865062,10570.563397865062,10570.563397865062,10570.563397865062,10570.563397865062,10918.317017445674,10907.398700428228,10907.398700428228,10907.398700428228,10907.398700428228,10907.398700428228,10907.398700428228,10907.398700428228,11199.598417228053,11188.398818810825,11188.398818810825,11188.398818810825,11567.397888936755,11555.830491047818,11555.830491047818,11555.830491047818,11555.830491047818,11555.830491047818,11555.830491047818,11555.830491047818,11555.830491047818,11587.717632327627,11576.129914695299,11576.129914695299,11576.129914695299,11576.129914695299,11576.129914695299,11576.129914695299,11475.506631590639,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049,11464.031124959049
NTC,DHPL,8.0,-1.2160851211061754,1.1001959472734077,0.27401660814101725,0.05,11157.582945730936,2.2969535102499745,0.5458706320388146,0.01974663659799977,9,0.5555555555555556,1.3811643835616436,28.231000000000005,34.066666666666684,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10126.138613861383,10116.012475247522,10116.012475247522,10116.012475247522,10116.012475247522,10494.97386566641,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10484.478891800743,10611.334660379953,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10600.723325719571,10729.294843231886,10718.565548388655,10718.565548388655,10718.565548388655,10812.418354044057,10895.261327519971,10873.470804864932,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10862.597334060067,10690.807368814007,10680.116561445193,10680.116561445193,10680.116561445193,10680.116561445193,10680.116561445193,10680.116561445193,11157.856409583981,11124.697298893498,11113.572601594604,11168.751697428363,11157.582945730936,11157.582945730936,11157.582945730936,11157.582945730936,11157.582945730936,11157.582945730936,11157.582945730936,11157.582945730936
HRL,NHPC,27.0,-1.3300407189322865,1.253005255637975,-0.24819986083559964,0.05,11437.83094058874,1.7708425338563856,1.1039967970676,0.011854605381165895,3,0.6666666666666666,inf,45.7875,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9891.34529147982,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,9881.453946188341,10742.48029766892,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,10731.737817371251,11449.28022080955,11437.83094058874,11437.83094058874,11437.83094058874
HRL,HDHPC,14.0,-1.2257967076620115,2.051443990523121,0.41276542729357535,0.1,11239.447754487333,1.9692827509085453,1.259374967991489,0.008337984944954462,6,0.6666666666666666,1.308512352309345,30.455625000000012,93.10000000000002,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10448.138699245417,10411.08828195804,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10400.677193676082,10518.017122812715,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10507.499105689902,10440.758813205135,10430.31805439193,10430.31805439193,10430.31805439193,10430.31805439193,10430.31805439193,10430.31805439193,10430.31805439193,10430.31805439193,10430.31805439193,10589.333336499138,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10578.74400316264,10556.157604218315,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,10545.601446614097,11250.698452940273,11239.447754487333,11239.447754487333,11239.447754487333
HRL,DHPL,7.0,-1.1019303699616292,1.4079000706048879,-0.25821166258522465,0.1,11278.56772859249,2.2521444735646297,0.48261723915066623,0.016971344057176076,11,0.45454545454545453,0.796923076923077,25.9,27.083333333333332,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10100.921501706485,10377.35431546205,10246.52855601506,10236.282027459045,10236.282027459045,10236.282027459045,10236.282027459045,10236.282027459045,10236.282027459045,10236.282027459045,10695.009438748519,10657.191617088027,10635.87723385385,10635.87723385385,10635.87723385385,10635.87723385385,10635.87723385385,10635.87723385385,10635.87723385385,10635.87723385385,10599.214039494675,10588.61482545518,10588.61482545518,10588.61482545518,10588.61482545518,10588.61482545518,10540.873176154444,10530.33230297829,10530.33230297829,10530.33230297829,10530.33230297829,10530.33230297829,10530.33230297829,10530.33230297829,10530.33230297829,10530.33230297829,10863.930477308588,11162.712963808452,11140.387537880835,11140.387537880835,11140.387537880835,11140.387537880835,11140.387537880835,11237.933858029599,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11226.695924171569,11473.284792268038,11461.81150747577,11461.81150747577,11461.81150747577,11461.81150747577,11461.81150747577,11461.81150747577,11461.81150747577,11461.81150747577,11461.81150747577,11289.857586178668,11278.56772859249,11278.56772859249,11278.56772859249,11278.56772859249,11278.56772859249,11278.56772859249,11278.56772859249,11278.56772859249
HRL,API,8.0,-1.4196869634404101,1.5204338581604997,0.4441312062931859,0.2,11598.339263548121,2.3183304857195433,0.9245519293322545,0.012595244131455408,9,0.5555555555555556,16.591136363636448,36.5005,3.666666666666648,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9883.93149017562,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9960.644090723112,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,9950.683446632387,10062.946568422078,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10052.883621853656,10030.726122191041,10010.664669946658,10000.654005276712,10000.654005276712,10000.654005276712,10000.654005276712,9955.563337217833,9945.607773880614,9945.607773880614,9945.607773880614,9945.607773880614,9945.607773880614,9945.607773880614,10239.087488021734,10184.928104203513,10174.743176099308,10638.938000600532,10628.299062599934,10628.299062599934,10628.299062599934,10628.299062599934,10628.299062599934,10628.299062599934,11371.794887896087,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11360.423093008192,11609.949212760881,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121,11598.339263548121
HRL,AKPL,8.0,-1.135190194677033,1.8973252217936223,0.42188403888017934,0.2,11169.520309591999,2.369464533148852,0.7049561362979474,0.012595244131455408,7,0.7142857142857143,6.376690821256026,26.399500000000007,20.700000000000045,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9883.93149017562,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9874.047558685446,9922.25614382491,9912.333887681087,9912.333887681087,9912.333887681087,9912.333887681087,9912.333887681087,9912.333887681087,10011.27235297833,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10001.261080625352,10296.383038953634,10241.920591826536,10231.67867123471,10618.497209656169,10607.878712446513,10607.878712446513,10607.878712446513,10607.878712446513,10607.878712446513,10607.878712446513,10951.351833280749,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,10940.400481447468,11180.701010602601,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999,11169.520309591999
RADHI,NHPC,12.0,-1.0671047332013455,1.114247950862084,0.17066762826198645,0.05,12673.835648246988,2.837741525196204,1.0750883690118607,0.01695327102803737,11,0.6363636363636364,27.369117647058857,19.940357142857145,1.6999999999999982,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10066.976906927923,10056.909930020995,10056.909930020995,10006.246385111077,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,9996.240138725965,10025.190288738122,10015.165098449383,10015.165098449383,10015.165098449383,10015.165098449383,10015.165098449383,10200.567788930435,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10190.367221141505,10470.146652895935,10459.676506243039,10459.676506243039,10459.676506243039,10459.676506243039,10459.676506243039,10459.676506243039,10459.676506243039,10459.676506243039,11371.08662350737,11178.309510095758,11856.16019819566,11844.304037997465,11844.304037997465,12030.96762286445,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12018.936655241585,12758.101259538946,12745.343158279407,12745.343158279407,12745.343158279407,12745.343158279407,12745.343158279407,12745.343158279407,12624.586432423845,12611.961845991422,12611.961845991422,12611.961845991422,12611.961845991422,12611.961845991422,12611.961845991422,12611.961845991422,12611.961845991422,12686.522170417406,12673.835648246988,12673.835648246988,12673.835648246988,12673.835648246988
RADHI,AKPL,7.0,-1.4829687950457255,1.5661078014262213,0.016591950480965845,0.05,12227.974535831274,3.3004683068775966,0.9554925575841495,0.01821068249258173,11,0.5454545454545454,4.432466063348419,16.326250000000005,4.419999999999999,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9817.893175074183,9893.11625998079,9883.22314372081,9883.22314372081,9883.22314372081,9855.138772982758,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,9845.283634209776,10079.045247982085,10068.966202734104,10068.966202734104,10068.966202734104,10068.966202734104,10068.966202734104,10068.966202734104,10068.966202734104,10068.966202734104,10185.25289084019,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10175.067637949349,10413.0649517248,10402.651886773076,10402.651886773076,11043.869487301621,11032.825617814318,11032.825617814318,11032.825617814318,11449.932293783331,11438.482361489549,11438.482361489549,11438.482361489549,11438.482361489549,11438.482361489549,11438.482361489549,11808.84964610965,11797.04079646354,11797.04079646354,11797.04079646354,11797.04079646354,11797.04079646354,11797.04079646354,12071.57969732881,12059.508117631483,12059.508117631483,12059.508117631483,12059.508117631483,12059.508117631483,12059.508117631483,12059.508117631483,12059.508117631483,12180.45789022302,12168.277432332798,12168.277432332798,12168.277432332798,12168.277432332798,12168.277432332798,12168.277432332798,12168.277432332798,12168.277432332798,12168.277432332798,12240.214750581858,12227.974535831274,12227.974535831274,12227.974535831274,12227.974535831274
NHPC,HDHPC,18.0,-1.0901265966347211,1.3139320993276327,-0.04406063039384711,0.05,12355.272062516122,3.6112648882921916,2.6265136988910145,0.007116716170278863,12,0.75,31.12111111111121,15.560555555555558,1.4999999999999953,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10126.986301369865,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10083.485307902693,10073.40182259479,10073.40182259479,10073.40182259479,10073.40182259479,10073.40182259479,10073.40182259479,10073.40182259479,10259.882602676484,10249.622720073809,10249.622720073809,10469.612492305045,10459.14287981274,10459.14287981274,10459.14287981274,10459.14287981274,10459.14287981274,10459.14287981274,10459.14287981274,10448.683736932926,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10438.235053195995,10865.171270027808,10981.432898840578,10959.470033042895,11126.55249495459,11115.425942459637,11058.426405299591,11047.367978894292,11047.367978894292,11047.367978894292,11047.367978894292,11454.329129035723,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11442.874799906689,11735.048872820704,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,11723.313823947883,12367.639702218341,12355.272062516122,12355.272062516122,12355.272062516122
NHPC,API,10.0,-1.3366598489376413,2.9602174778342425,0.4000389271031367,0.05,11873.054085202937,2.4253375893433833,7.843366173857542,0.0010000000000002997,4,1.0,inf,25.66875,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10231.212956581665,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10410.194552000974,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,10399.78435744897,11305.97573679889,11294.66976106209,11294.66976106209,11294.66976106209,11294.66976106209,11294.66976106209,11294.66976106209,11884.939024227164,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937,11873.054085202937
HDHPC,AKPL,14.0,-1.4265614120296477,1.328750312657854,0.0912345787084845,0.1,15221.174181565033,3.624175576288612,14.289949750971568,0.0010000000000002928,8,0.75,46.58636363636386,17.08166666666666,2.1999999999999886,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10455.116279069765,10672.656066911464,10661.98341084455,10661.98341084455,10661.98341084455,10661.98341084455,10661.98341084455,10661.98341084455,10724.016768871285,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10713.292752102414,10761.732609515295,10750.970876905782,10750.970876905782,10750.970876905782,10750.970876905782,11808.03642653419,11796.228390107655,11796.228390107655,11796.228390107655,11796.228390107655,11796.228390107655,11796.228390107655,12699.355737267639,12686.656381530373,12734.382374584702,12721.647992210119,12721.647992210119,12721.647992210119,12721.647992210119,12721.647992210119,12721.647992210119,12721.647992210119,12721.647992210119,12721.647992210119,13975.583936515884,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,13961.60835257937,15236.41059215719,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033,15221.174181565033
